Group,Active US born CDPH,Active FB CDPH,Active Total CDPH,Pop US born CDPH,Pop FB CDPH,Tot Pop CDPH,Base risk of prog,RR,Total risk of progression,Exp Latents US born,Exp Latents FB,Exp Latents Total,Est Latents US born,Est Latents FB,Est Latents Total
Total,479,1668,2147,28143295,10356083,38499378,0.00073,1,0.00073,656164.3836,2284931.507,2941095.89,506579,2060861,2567440
Undocumented,0,293,293,0,2820000,2820000,0.00073,1,0.00073,0,401369.863,401369.863,0,527000,527000
Homeless,,,118,,,136826,0.00073,1,0.00073,,,161643.8356,,,
HIV infected (HIV/AIDS),26.2,45.6,71.8,96300,23600,119900,0.00073,12,0.00876,2990.86758,5205.479452,8196.347032,1700,4400,6100
Diabetes,60.2,455.4,515.6,1402000,920000,2322000,0.00073,1.6,0.001168,51541.09589,389897.2603,441438.3562,25200,172000,197200
End-stage renal disease (ESRD),10,71.8,81.8,56800,21900,78700,0.00073,11,0.00803,1245.330012,8941.469489,10186.7995,1000,4100,5100
Smokers,,,,2892000,1037000,3929000,0.00073,2.5,0.001825,,,,52000,194000,246000
Transplant,2.2,14.4,16.6,29995,10194,40189,0.00073,2.4,0.001752,1255.707763,8219.178082,9474.885845,500,1900,2400
TNF-alpha,5,14,19,,,25000,0.00073,1.5,0.001095,4566.210046,12785.38813,17351.59817,,,9400
Asian,56.95216258,991.5468033,1048.498966,2115398,3214415,5329813,0.00073,1,0.00073,78016.66106,1358283.292,1436299.953,57116,784317,841433
Black,85.1386566,46.14090459,131.2795612,2039748,112060,2151808,0.00073,1,0.00073,116628.2967,63206.71862,179835.0153,114226,22412,136638
Hispanic,202.1319126,586.8968618,789.0287744,9312759,5225138,14537897,0.00073,1,0.00073,276893.031,803968.3038,1080861.335,158317,924849,1083166
Other,4.440338099,0.193058178,4.633396277,886077,32424,918501,0.00073,1,0.00073,6082.65493,264.4632578,6347.118188,15949,6063,22012
White,114.2904415,59.26886071,173.5593022,13702486,1337581,15040067,0.00073,1,0.00073,156562.2486,81190.22016,237752.4688,150727,239427,390154
Male,284.6233743,1000.610997,1285.234371,,,,0.00073,1,0.00073,389895.0333,1370699.995,1760595.028,,,
Female,178.3228989,683.4427303,861.7656292,,,,0.00073,1,0.00073,244277.9437,936222.9182,1180500.862,,,
Alcohol,69.37617808,109.0747689,178.450947,,,,0.00073,1,0.00073,95035.86038,149417.4916,244453.352,,,
IDU,6.603819283,22.99618072,29.6,,,,0.00073,1,0.00073,9046.327785,31501.61742,40547.94521,,,
Imported cases ie < 1 year in US,0,160.7987263,160.7987263,,,,0.00073,1,0.00073,,,,,,
Transmission within US,,,364.99,,,,0.00073,1,0.00073,,,,,,
