DIABETES,BINGE,CURRENT SMOKE,SEX,RACE,BORN WHERE?,AGE,N, WEIGHTED N ,WEIGHTED %
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,BORN IN THE US,18-25 YEARS,290," 440,305 ",1.560
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,BORN IN THE US,18-25 YEARS,201," 377,352 ",1.337
DM=NO,binge=NO,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,BORN IN THE US,18-25 YEARS,133," 324,274 ",1.149
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,60-64 YEARS,1172," 317,118 ",1.124
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=HISPANIC,BORN IN THE US,18-25 YEARS,145," 314,951 ",1.116
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,5+ YEARS,35-39 YEARS,210," 307,602 ",1.090
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,55-59 YEARS,984," 307,489 ",1.089
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,18-25 YEARS,188," 299,657 ",1.062
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,55-59 YEARS,621," 297,615 ",1.054
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,5+ YEARS,40-44 YEARS,247," 295,146 ",1.046
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,60-64 YEARS,750," 293,610 ",1.040
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,50-54 YEARS,661," 290,663 ",1.030
DM=NO,binge=NO,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,18-25 YEARS,145," 275,137 ",0.975
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,65-69 YEARS,1303," 273,764 ",0.970
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,18-25 YEARS,177," 273,305 ",0.968
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,70-74 YEARS,1180," 269,578 ",0.955
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,50-54 YEARS,403," 257,885 ",0.914
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,65-69 YEARS,796," 248,723 ",0.881
DM=NO,binge=NO,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,30-34 YEARS,120," 244,332 ",0.866
DM=NO,binge=YES,SMKCUR=NO,SRSEX=MALE,racen=WHITE,BORN IN THE US,18-25 YEARS,174," 236,365 ",0.837
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,5+ YEARS,50-54 YEARS,214," 234,168 ",0.830
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=HISPANIC,5+ YEARS,45-49 YEARS,217," 221,762 ",0.786
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,40-44 YEARS,303," 221,516 ",0.785
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,75-79 YEARS,950," 211,174 ",0.748
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,30-34 YEARS,152," 211,015 ",0.748
DM=NO,binge=YES,SMKCUR=NO,SRSEX=FEMALE,racen=WHITE,BORN IN THE US,45-49 YEARS,398," 205,318 ",0.727
