Birthplace,Sex,Race,Age group,Base,Stratum,From_state,To_State
Afghanistan,Male,Asian,Age 15-19,0.23760071,Afghanistan Male Asian Age 15-19,Uninitialized,Latent TB
Afghanistan,Male,Asian,Age 20-24,0.23760071,Afghanistan Male Asian Age 20-24,Uninitialized,Latent TB
Afghanistan,Male,Asian,Age 25-29,0.321913334,Afghanistan Male Asian Age 25-29,Uninitialized,Latent TB
Afghanistan,Male,Asian,Age 30-34,0.321913334,Afghanistan Male Asian Age 30-34,Uninitialized,Latent TB
Afghanistan,Male,Asian,Age 35-39,0.321913334,Afghanistan Male Asian Age 35-39,Uninitialized,Latent TB
Afghanistan,Male,Asian,Age 40-44,0.321913334,Afghanistan Male Asian Age 40-44,Uninitialized,Latent TB
Afghanistan,Male,Asian,Age 45-49,0.417080763,Afghanistan Male Asian Age 45-49,Uninitialized,Latent TB
Afghanistan,Male,Asian,Age 50-54,0.417080763,Afghanistan Male Asian Age 50-54,Uninitialized,Latent TB
Afghanistan,Male,Asian,Age 55-59,0.417080763,Afghanistan Male Asian Age 55-59,Uninitialized,Latent TB
Afghanistan,Male,Asian,Age 60-64,0.417080763,Afghanistan Male Asian Age 60-64,Uninitialized,Latent TB
Afghanistan,Male,Asian,Age 65-69,0.184257178,Afghanistan Male Asian Age 65-69,Uninitialized,Latent TB
Afghanistan,Male,Asian,Age 70-74,0.184257178,Afghanistan Male Asian Age 70-74,Uninitialized,Latent TB
Afghanistan,Male,Asian,Age 75-79,0.184257178,Afghanistan Male Asian Age 75-79,Uninitialized,Latent TB
Afghanistan,Male,Asian,Age 80+,0.184257178,Afghanistan Male Asian Age 80+,Uninitialized,Latent TB
Afghanistan,Male,Hispanic,Age 15-19,0.23760071,Afghanistan Male Hispanic Age 15-19,Uninitialized,Latent TB
Afghanistan,Male,Hispanic,Age 20-24,0.23760071,Afghanistan Male Hispanic Age 20-24,Uninitialized,Latent TB
Afghanistan,Male,Hispanic,Age 25-29,0.321913334,Afghanistan Male Hispanic Age 25-29,Uninitialized,Latent TB
Afghanistan,Male,Hispanic,Age 30-34,0.321913334,Afghanistan Male Hispanic Age 30-34,Uninitialized,Latent TB
Afghanistan,Male,Hispanic,Age 35-39,0.321913334,Afghanistan Male Hispanic Age 35-39,Uninitialized,Latent TB
Afghanistan,Male,Hispanic,Age 40-44,0.321913334,Afghanistan Male Hispanic Age 40-44,Uninitialized,Latent TB
Afghanistan,Male,Hispanic,Age 45-49,0.417080763,Afghanistan Male Hispanic Age 45-49,Uninitialized,Latent TB
Afghanistan,Male,Hispanic,Age 50-54,0.417080763,Afghanistan Male Hispanic Age 50-54,Uninitialized,Latent TB
Afghanistan,Male,Hispanic,Age 55-59,0.417080763,Afghanistan Male Hispanic Age 55-59,Uninitialized,Latent TB
Afghanistan,Male,Hispanic,Age 60-64,0.417080763,Afghanistan Male Hispanic Age 60-64,Uninitialized,Latent TB
Afghanistan,Male,Hispanic,Age 65-69,0.184257178,Afghanistan Male Hispanic Age 65-69,Uninitialized,Latent TB
Afghanistan,Male,Hispanic,Age 70-74,0.184257178,Afghanistan Male Hispanic Age 70-74,Uninitialized,Latent TB
Afghanistan,Male,Hispanic,Age 75-79,0.184257178,Afghanistan Male Hispanic Age 75-79,Uninitialized,Latent TB
Afghanistan,Male,Hispanic,Age 80+,0.184257178,Afghanistan Male Hispanic Age 80+,Uninitialized,Latent TB
Afghanistan,Male,Black,Age 15-19,0.23760071,Afghanistan Male Black Age 15-19,Uninitialized,Latent TB
Afghanistan,Male,Black,Age 20-24,0.23760071,Afghanistan Male Black Age 20-24,Uninitialized,Latent TB
Afghanistan,Male,Black,Age 25-29,0.321913334,Afghanistan Male Black Age 25-29,Uninitialized,Latent TB
Afghanistan,Male,Black,Age 30-34,0.321913334,Afghanistan Male Black Age 30-34,Uninitialized,Latent TB
Afghanistan,Male,Black,Age 35-39,0.321913334,Afghanistan Male Black Age 35-39,Uninitialized,Latent TB
Afghanistan,Male,Black,Age 40-44,0.321913334,Afghanistan Male Black Age 40-44,Uninitialized,Latent TB
Afghanistan,Male,Black,Age 45-49,0.417080763,Afghanistan Male Black Age 45-49,Uninitialized,Latent TB
Afghanistan,Male,Black,Age 50-54,0.417080763,Afghanistan Male Black Age 50-54,Uninitialized,Latent TB
Afghanistan,Male,Black,Age 55-59,0.417080763,Afghanistan Male Black Age 55-59,Uninitialized,Latent TB
Afghanistan,Male,Black,Age 60-64,0.417080763,Afghanistan Male Black Age 60-64,Uninitialized,Latent TB
Afghanistan,Male,Black,Age 65-69,0.184257178,Afghanistan Male Black Age 65-69,Uninitialized,Latent TB
Afghanistan,Male,Black,Age 70-74,0.184257178,Afghanistan Male Black Age 70-74,Uninitialized,Latent TB
Afghanistan,Male,Black,Age 75-79,0.184257178,Afghanistan Male Black Age 75-79,Uninitialized,Latent TB
Afghanistan,Male,Black,Age 80+,0.184257178,Afghanistan Male Black Age 80+,Uninitialized,Latent TB
Afghanistan,Male,White,Age 15-19,0.23760071,Afghanistan Male White Age 15-19,Uninitialized,Latent TB
Afghanistan,Male,White,Age 20-24,0.23760071,Afghanistan Male White Age 20-24,Uninitialized,Latent TB
Afghanistan,Male,White,Age 25-29,0.321913334,Afghanistan Male White Age 25-29,Uninitialized,Latent TB
Afghanistan,Male,White,Age 30-34,0.321913334,Afghanistan Male White Age 30-34,Uninitialized,Latent TB
Afghanistan,Male,White,Age 35-39,0.321913334,Afghanistan Male White Age 35-39,Uninitialized,Latent TB
Afghanistan,Male,White,Age 40-44,0.321913334,Afghanistan Male White Age 40-44,Uninitialized,Latent TB
Afghanistan,Male,White,Age 45-49,0.417080763,Afghanistan Male White Age 45-49,Uninitialized,Latent TB
Afghanistan,Male,White,Age 50-54,0.417080763,Afghanistan Male White Age 50-54,Uninitialized,Latent TB
Afghanistan,Male,White,Age 55-59,0.417080763,Afghanistan Male White Age 55-59,Uninitialized,Latent TB
Afghanistan,Male,White,Age 60-64,0.417080763,Afghanistan Male White Age 60-64,Uninitialized,Latent TB
Afghanistan,Male,White,Age 65-69,0.184257178,Afghanistan Male White Age 65-69,Uninitialized,Latent TB
Afghanistan,Male,White,Age 70-74,0.184257178,Afghanistan Male White Age 70-74,Uninitialized,Latent TB
Afghanistan,Male,White,Age 75-79,0.184257178,Afghanistan Male White Age 75-79,Uninitialized,Latent TB
Afghanistan,Male,White,Age 80+,0.184257178,Afghanistan Male White Age 80+,Uninitialized,Latent TB
Afghanistan,Male,Other,Age 15-19,0.23760071,Afghanistan Male Other Age 15-19,Uninitialized,Latent TB
Afghanistan,Male,Other,Age 20-24,0.23760071,Afghanistan Male Other Age 20-24,Uninitialized,Latent TB
