Stratum name:,From:,To:,Base:,Low:,High:
Male Age 15-19,Life,Death,5.66203E-05,4.24652E-05,7.07754E-05
Male Age 20-24,Life,Death,0.000105586,7.91895E-05,0.000131983
Male Age 25-29,Life,Death,0.000113764,0.000085323,0.000142205
Male Age 30-34,Life,Death,0.000124842,9.36315E-05,0.000156053
Male Age 35-39,Life,Death,0.000147858,0.000110894,0.000184823
Male Age 40-44,Life,Death,0.000206333,0.00015475,0.000257916
Male Age 45-49,Life,Death,0.000329251,0.000246938,0.000411564
Male Age 50-54,Life,Death,0.000512441,0.000384331,0.000640551
Male Age 55-59,Life,Death,0.000755716,0.000566787,0.000944645
Male Age 60-64,Life,Death,0.001040918,0.000780689,0.001301148
Male Age 65-69,Life,Death,0.001537284,0.001152963,0.001921605
Male Age 70-74,Life,Death,0.002385381,0.001789036,0.002981726
Male Age 75-79,Life,Death,0.00376176,0.00282132,0.0047022
Male Age 80+,Life,Death,0.009656578,0.007242434,0.012070723
Female Age 15-19,Life,Death,2.34151E-05,1.75613E-05,2.92689E-05
Female Age 20-24,Life,Death,3.66981E-05,2.75236E-05,4.58726E-05
Female Age 25-29,Life,Death,4.65306E-05,0.000034898,5.81633E-05
Female Age 30-34,Life,Death,6.34946E-05,0.000047621,7.93683E-05
Female Age 35-39,Life,Death,8.55544E-05,6.41658E-05,0.000106943
Female Age 40-44,Life,Death,0.000130713,9.80348E-05,0.000163391
Female Age 45-49,Life,Death,0.000208261,0.000156196,0.000260326
Female Age 50-54,Life,Death,0.00031402,0.000235515,0.000392525
Female Age 55-59,Life,Death,0.000440294,0.000330221,0.000550368
Female Age 60-64,Life,Death,0.000640167,0.000480125,0.000800209
Female Age 65-69,Life,Death,0.001012497,0.000759373,0.001265621
Female Age 70-74,Life,Death,0.001631725,0.001223794,0.002039656
Female Age 75-79,Life,Death,0.002697867,0.0020234,0.003372334
Female Age 80+,Life,Death,0.008267254,0.006200441,0.010334068
