Group,CasesAverage,Year,Nativity,Source
Total,760,2000,USB,RVCT
Homeless,153,2000,USB,RVCT
HIV,81,2000,USB,RVCT
Diabetes,,2000,USB,RVCT
ESRD,,2000,USB,RVCT
Smokers,,2000,USB,RVCT
Transplant,,2000,USB,RVCT
TNF-alpha,,2000,USB,RVCT
Asian,31,2000,USB,RVCT
Black,253,2000,USB,RVCT
Hispanic,177,2000,USB,RVCT
Other,15,2000,USB,RVCT
White,284,2000,USB,RVCT
Male,497,2000,USB,RVCT
Female,263,2000,USB,RVCT
Alcohol,189,2000,USB,RVCT
IDU,66,2000,USB,RVCT
Imported,,2000,USB,RVCT
RTgt1yr,,2000,USB,RVCT
RTall,,2000,USB,RVCT
Total,2308,2000,FB,RVCT
Homeless,68,2000,FB,RVCT
HIV,85,2000,FB,RVCT
Diabetes,,2000,FB,RVCT
ESRD,,2000,FB,RVCT
Smokers,,2000,FB,RVCT
Transplant,,2000,FB,RVCT
TNF-alpha,,2000,FB,RVCT
Asian,1277,2000,FB,RVCT
Black,49,2000,FB,RVCT
Hispanic,886,2000,FB,RVCT
Other,9,2000,FB,RVCT
White,87,2000,FB,RVCT
Male,1367,2000,FB,RVCT
Female,941,2000,FB,RVCT
Alcohol,174,2000,FB,RVCT
IDU,22,2000,FB,RVCT
Imported,373,2000,FB,RVCT
RTgt1yr,,2000,FB,RVCT
RTall,,2000,FB,RVCT
Total,677,2001,USB,RVCT
Homeless,143,2001,USB,RVCT
HIV,87,2001,USB,RVCT
Diabetes,,2001,USB,RVCT
ESRD,,2001,USB,RVCT
Smokers,,2001,USB,RVCT
Transplant,,2001,USB,RVCT
TNF-alpha,,2001,USB,RVCT
Asian,21,2001,USB,RVCT
Black,227,2001,USB,RVCT
Hispanic,162,2001,USB,RVCT
Other,15,2001,USB,RVCT
White,252,2001,USB,RVCT
Male,451,2001,USB,RVCT
Female,226,2001,USB,RVCT
Alcohol,159,2001,USB,RVCT
IDU,62,2001,USB,RVCT
Imported,,2001,USB,RVCT
RTgt1yr,,2001,USB,RVCT
RTall,,2001,USB,RVCT
Total,2408,2001,FB,RVCT
Homeless,77,2001,FB,RVCT
HIV,99,2001,FB,RVCT
Diabetes,,2001,FB,RVCT
ESRD,,2001,FB,RVCT
Smokers,,2001,FB,RVCT
Transplant,,2001,FB,RVCT
TNF-alpha,,2001,FB,RVCT
Asian,1323,2001,FB,RVCT
Black,42,2001,FB,RVCT
Hispanic,928,2001,FB,RVCT
Other,12,2001,FB,RVCT
White,103,2001,FB,RVCT
Male,1460,2001,FB,RVCT
Female,948,2001,FB,RVCT
Alcohol,212,2001,FB,RVCT
IDU,24,2001,FB,RVCT
Imported,444,2001,FB,RVCT
RTgt1yr,,2001,FB,RVCT
RTall,,2001,FB,RVCT
Total,617,2002,USB,RVCT
Homeless,121,2002,USB,RVCT
HIV,67,2002,USB,RVCT
Diabetes,,2002,USB,RVCT
ESRD,,2002,USB,RVCT
Smokers,,2002,USB,RVCT
Transplant,,2002,USB,RVCT
TNF-alpha,,2002,USB,RVCT
Asian,27,2002,USB,RVCT
Black,197,2002,USB,RVCT
Hispanic,174,2002,USB,RVCT
Other,8,2002,USB,RVCT
White,211,2002,USB,RVCT
Male,381,2002,USB,RVCT
Female,236,2002,USB,RVCT
Alcohol,119,2002,USB,RVCT
IDU,54,2002,USB,RVCT
Imported,,2002,USB,RVCT
RTgt1yr,,2002,USB,RVCT
RTall,,2002,USB,RVCT
Total,2311,2002,FB,RVCT
Homeless,78,2002,FB,RVCT
HIV,102,2002,FB,RVCT
Diabetes,,2002,FB,RVCT
ESRD,,2002,FB,RVCT
Smokers,,2002,FB,RVCT
Transplant,,2002,FB,RVCT
TNF-alpha,,2002,FB,RVCT
Asian,1216,2002,FB,RVCT
Black,60,2002,FB,RVCT
Hispanic,939,2002,FB,RVCT
Other,12,2002,FB,RVCT
White,84,2002,FB,RVCT
Male,1394,2002,FB,RVCT
Female,917,2002,FB,RVCT
Alcohol,203,2002,FB,RVCT
IDU,17,2002,FB,RVCT
Imported,454,2002,FB,RVCT
RTgt1yr,,2002,FB,RVCT
RTall,,2002,FB,RVCT
Total,618,2003,USB,RVCT
Homeless,128,2003,USB,RVCT
HIV,62,2003,USB,RVCT
Diabetes,,2003,USB,RVCT
ESRD,,2003,USB,RVCT
Smokers,,2003,USB,RVCT
Transplant,,2003,USB,RVCT
TNF-alpha,,2003,USB,RVCT
Asian,33,2003,USB,RVCT
Black,180,2003,USB,RVCT
Hispanic,159,2003,USB,RVCT
Other,8,2003,USB,RVCT
White,238,2003,USB,RVCT
Male,386,2003,USB,RVCT
Female,232,2003,USB,RVCT
Alcohol,169,2003,USB,RVCT
IDU,45,2003,USB,RVCT
Imported,,2003,USB,RVCT
RTgt1yr,,2003,USB,RVCT
RTall,,2003,USB,RVCT
Total,2349,2003,FB,RVCT
Homeless,93,2003,FB,RVCT
HIV,123,2003,FB,RVCT
Diabetes,,2003,FB,RVCT
ESRD,,2003,FB,RVCT
Smokers,,2003,FB,RVCT
Transplant,,2003,FB,RVCT
TNF-alpha,,2003,FB,RVCT
Asian,1262,2003,FB,RVCT
Black,54,2003,FB,RVCT
Hispanic,944,2003,FB,RVCT
Other,7,2003,FB,RVCT
White,82,2003,FB,RVCT
Male,1361,2003,FB,RVCT
Female,988,2003,FB,RVCT
Alcohol,176,2003,FB,RVCT
IDU,28,2003,FB,RVCT
Imported,409,2003,FB,RVCT
RTgt1yr,,2003,FB,RVCT
RTall,,2003,FB,RVCT
Total,557,2004,USB,RVCT
Homeless,104,2004,USB,RVCT
HIV,47,2004,USB,RVCT
Diabetes,,2004,USB,RVCT
ESRD,,2004,USB,RVCT
Smokers,,2004,USB,RVCT
Transplant,,2004,USB,RVCT
TNF-alpha,,2004,USB,RVCT
Asian,32,2004,USB,RVCT
Black,166,2004,USB,RVCT
Hispanic,151,2004,USB,RVCT
Other,4,2004,USB,RVCT
White,204,2004,USB,RVCT
Male,350,2004,USB,RVCT
Female,207,2004,USB,RVCT
Alcohol,126,2004,USB,RVCT
IDU,53,2004,USB,RVCT
Imported,,2004,USB,RVCT
RTgt1yr,,2004,USB,RVCT
RTall,,2004,USB,RVCT
Total,2204,2004,FB,RVCT
Homeless,77,2004,FB,RVCT
HIV,92,2004,FB,RVCT
Diabetes,,2004,FB,RVCT
ESRD,,2004,FB,RVCT
Smokers,,2004,FB,RVCT
Transplant,,2004,FB,RVCT
TNF-alpha,,2004,FB,RVCT
Asian,1208,2004,FB,RVCT
Black,44,2004,FB,RVCT
Hispanic,866,2004,FB,RVCT
Other,9,2004,FB,RVCT
White,77,2004,FB,RVCT
Male,1331,2004,FB,RVCT
Female,873,2004,FB,RVCT
Alcohol,173,2004,FB,RVCT
IDU,18,2004,FB,RVCT
Imported,433,2004,FB,RVCT
RTgt1yr,,2004,FB,RVCT
RTall,,2004,FB,RVCT
Total,540,2005,USB,RVCT
Homeless,99,2005,USB,RVCT
HIV,65,2005,USB,RVCT
Diabetes,,2005,USB,RVCT
ESRD,,2005,USB,RVCT
Smokers,,2005,USB,RVCT
Transplant,,2005,USB,RVCT
TNF-alpha,,2005,USB,RVCT
Asian,29,2005,USB,RVCT
Black,177,2005,USB,RVCT
Hispanic,143,2005,USB,RVCT
Other,5,2005,USB,RVCT
White,186,2005,USB,RVCT
Male,365,2005,USB,RVCT
Female,175,2005,USB,RVCT
Alcohol,123,2005,USB,RVCT
IDU,39,2005,USB,RVCT
Imported,,2005,USB,RVCT
RTgt1yr,,2005,USB,RVCT
RTall,,2005,USB,RVCT
Total,2193,2005,FB,RVCT
Homeless,78,2005,FB,RVCT
HIV,83,2005,FB,RVCT
Diabetes,,2005,FB,RVCT
ESRD,,2005,FB,RVCT
Smokers,,2005,FB,RVCT
Transplant,,2005,FB,RVCT
TNF-alpha,,2005,FB,RVCT
Asian,1207,2005,FB,RVCT
Black,37,2005,FB,RVCT
Hispanic,869,2005,FB,RVCT
Other,7,2005,FB,RVCT
White,73,2005,FB,RVCT
Male,1302,2005,FB,RVCT
Female,891,2005,FB,RVCT
Alcohol,135,2005,FB,RVCT
IDU,21,2005,FB,RVCT
Imported,382,2005,FB,RVCT
RTgt1yr,,2005,FB,RVCT
RTall,,2005,FB,RVCT
Total,531,2006,USB,RVCT
Homeless,103,2006,USB,RVCT
HIV,49,2006,USB,RVCT
Diabetes,,2006,USB,RVCT
ESRD,,2006,USB,RVCT
Smokers,,2006,USB,RVCT
Transplant,,2006,USB,RVCT
TNF-alpha,,2006,USB,RVCT
Asian,36,2006,USB,RVCT
Black,143,2006,USB,RVCT
Hispanic,161,2006,USB,RVCT
Other,10,2006,USB,RVCT
White,181,2006,USB,RVCT
Male,352,2006,USB,RVCT
Female,179,2006,USB,RVCT
Alcohol,94,2006,USB,RVCT
IDU,26,2006,USB,RVCT
Imported,,2006,USB,RVCT
RTgt1yr,,2006,USB,RVCT
RTall,,2006,USB,RVCT
Total,2096,2006,FB,RVCT
Homeless,62,2006,FB,RVCT
HIV,104,2006,FB,RVCT
Diabetes,,2006,FB,RVCT
ESRD,,2006,FB,RVCT
Smokers,,2006,FB,RVCT
Transplant,,2006,FB,RVCT
TNF-alpha,,2006,FB,RVCT
Asian,1153,2006,FB,RVCT
Black,59,2006,FB,RVCT
Hispanic,796,2006,FB,RVCT
Other,8,2006,FB,RVCT
White,80,2006,FB,RVCT
Male,1228,2006,FB,RVCT
Female,868,2006,FB,RVCT
Alcohol,130,2006,FB,RVCT
IDU,15,2006,FB,RVCT
Imported,363,2006,FB,RVCT
RTgt1yr,,2006,FB,RVCT
RTall,,2006,FB,RVCT
Total,492,2007,USB,RVCT
Homeless,84,2007,USB,RVCT
HIV,50,2007,USB,RVCT
Diabetes,,2007,USB,RVCT
ESRD,,2007,USB,RVCT
Smokers,,2007,USB,RVCT
Transplant,,2007,USB,RVCT
TNF-alpha,,2007,USB,RVCT
Asian,35,2007,USB,RVCT
Black,159,2007,USB,RVCT
Hispanic,128,2007,USB,RVCT
Other,6,2007,USB,RVCT
White,164,2007,USB,RVCT
Male,335,2007,USB,RVCT
Female,157,2007,USB,RVCT
Alcohol,100,2007,USB,RVCT
IDU,26,2007,USB,RVCT
Imported,,2007,USB,RVCT
RTgt1yr,,2007,USB,RVCT
RTall,,2007,USB,RVCT
Total,2078,2007,FB,RVCT
Homeless,67,2007,FB,RVCT
HIV,91,2007,FB,RVCT
Diabetes,,2007,FB,RVCT
ESRD,,2007,FB,RVCT
Smokers,,2007,FB,RVCT
Transplant,,2007,FB,RVCT
TNF-alpha,,2007,FB,RVCT
Asian,1192,2007,FB,RVCT
Black,47,2007,FB,RVCT
Hispanic,769,2007,FB,RVCT
Other,7,2007,FB,RVCT
White,63,2007,FB,RVCT
Male,1233,2007,FB,RVCT
Female,845,2007,FB,RVCT
Alcohol,143,2007,FB,RVCT
IDU,19,2007,FB,RVCT
Imported,346,2007,FB,RVCT
RTgt1yr,,2007,FB,RVCT
RTall,,2007,FB,RVCT
Total,539,2008,USB,RVCT
Homeless,96,2008,USB,RVCT
HIV,55,2008,USB,RVCT
Diabetes,,2008,USB,RVCT
ESRD,,2008,USB,RVCT
Smokers,,2008,USB,RVCT
Transplant,,2008,USB,RVCT
TNF-alpha,,2008,USB,RVCT
Asian,31,2008,USB,RVCT
Black,146,2008,USB,RVCT
Hispanic,162,2008,USB,RVCT
Other,10,2008,USB,RVCT
White,190,2008,USB,RVCT
Male,361,2008,USB,RVCT
Female,178,2008,USB,RVCT
Alcohol,113,2008,USB,RVCT
IDU,28,2008,USB,RVCT
Imported,,2008,USB,RVCT
RTgt1yr,,2008,USB,RVCT
RTall,,2008,USB,RVCT
Total,1999,2008,FB,RVCT
Homeless,66,2008,FB,RVCT
HIV,81,2008,FB,RVCT
Diabetes,,2008,FB,RVCT
ESRD,,2008,FB,RVCT
Smokers,,2008,FB,RVCT
Transplant,,2008,FB,RVCT
TNF-alpha,,2008,FB,RVCT
Asian,1086,2008,FB,RVCT
Black,49,2008,FB,RVCT
Hispanic,795,2008,FB,RVCT
Other,6,2008,FB,RVCT
White,63,2008,FB,RVCT
Male,1210,2008,FB,RVCT
Female,789,2008,FB,RVCT
Alcohol,144,2008,FB,RVCT
IDU,9,2008,FB,RVCT
Imported,262,2008,FB,RVCT
RTgt1yr,,2008,FB,RVCT
RTall,,2008,FB,RVCT
Total,475,2009,USB,RVCT
Homeless,51,2009,USB,RVCT
HIV,38,2009,USB,RVCT
Diabetes,,2009,USB,RVCT
ESRD,1,2009,USB,RVCT
Smokers,,2009,USB,RVCT
Transplant,,2009,USB,RVCT
TNF-alpha,,2009,USB,RVCT
Asian,48,2009,USB,RVCT
Black,126,2009,USB,RVCT
Hispanic,143,2009,USB,RVCT
Other,5,2009,USB,RVCT
White,153,2009,USB,RVCT
Male,301,2009,USB,RVCT
Female,174,2009,USB,RVCT
Alcohol,77,2009,USB,RVCT
IDU,19,2009,USB,RVCT
Imported,,2009,USB,RVCT
RTgt1yr,,2009,USB,RVCT
RTall,,2009,USB,RVCT
Total,1853,2009,FB,RVCT
Homeless,48,2009,FB,RVCT
HIV,71,2009,FB,RVCT
Diabetes,9,2009,FB,RVCT
ESRD,,2009,FB,RVCT
Smokers,1,2009,FB,RVCT
Transplant,,2009,FB,RVCT
TNF-alpha,,2009,FB,RVCT
Asian,1059,2009,FB,RVCT
Black,47,2009,FB,RVCT
Hispanic,680,2009,FB,RVCT
Other,10,2009,FB,RVCT
White,57,2009,FB,RVCT
Male,1125,2009,FB,RVCT
Female,727,2009,FB,RVCT
Alcohol,116,2009,FB,RVCT
IDU,7,2009,FB,RVCT
Imported,169,2009,FB,RVCT
RTgt1yr,,2009,FB,RVCT
RTall,,2009,FB,RVCT
Total,414,2010,USB,RVCT
Homeless,53,2010,USB,RVCT
HIV,37,2010,USB,RVCT
Diabetes,59,2010,USB,RVCT
ESRD,4,2010,USB,RVCT
Smokers,32,2010,USB,RVCT
Transplant,,2010,USB,RVCT
TNF-alpha,6,2010,USB,RVCT
Asian,37,2010,USB,RVCT
Black,101,2010,USB,RVCT
Hispanic,158,2010,USB,RVCT
Other,3,2010,USB,RVCT
White,115,2010,USB,RVCT
Male,251,2010,USB,RVCT
Female,163,2010,USB,RVCT
Alcohol,76,2010,USB,RVCT
IDU,13,2010,USB,RVCT
Imported,,2010,USB,RVCT
RTgt1yr,,2010,USB,RVCT
RTall,,2010,USB,RVCT
Total,1806,2010,FB,RVCT
Homeless,48,2010,FB,RVCT
HIV,64,2010,FB,RVCT
Diabetes,425,2010,FB,RVCT
ESRD,78,2010,FB,RVCT
Smokers,86,2010,FB,RVCT
Transplant,13,2010,FB,RVCT
TNF-alpha,12,2010,FB,RVCT
Asian,1049,2010,FB,RVCT
Black,43,2010,FB,RVCT
Hispanic,649,2010,FB,RVCT
Other,2,2010,FB,RVCT
White,63,2010,FB,RVCT
Male,1066,2010,FB,RVCT
Female,740,2010,FB,RVCT
Alcohol,97,2010,FB,RVCT
IDU,13,2010,FB,RVCT
Imported,179,2010,FB,RVCT
RTgt1yr,,2010,FB,RVCT
RTall,,2010,FB,RVCT
Total,405,2011,USB,RVCT
Homeless,57,2011,USB,RVCT
HIV,32,2011,USB,RVCT
Diabetes,62,2011,USB,RVCT
ESRD,16,2011,USB,RVCT
Smokers,56,2011,USB,RVCT
Transplant,2,2011,USB,RVCT
TNF-alpha,6,2011,USB,RVCT
Asian,36,2011,USB,RVCT
Black,84,2011,USB,RVCT
Hispanic,142,2011,USB,RVCT
Other,6,2011,USB,RVCT
White,137,2011,USB,RVCT
Male,254,2011,USB,RVCT
Female,151,2011,USB,RVCT
Alcohol,73,2011,USB,RVCT
IDU,12,2011,USB,RVCT
Imported,,2011,USB,RVCT
RTgt1yr,36,2011,USB,RVCT
RTall,36,2011,USB,RVCT
Total,1786,2011,FB,RVCT
Homeless,65,2011,FB,RVCT
HIV,69,2011,FB,RVCT
Diabetes,477,2011,FB,RVCT
ESRD,71,2011,FB,RVCT
Smokers,170,2011,FB,RVCT
Transplant,16,2011,FB,RVCT
